name,Bombs_kg,Cruise_speed_kmh,Dry_thrust_kg,Empty_weight_kg,Gross_weight_kg,Guns_mm,Height_m,Length_m,Loaded_weight_kg,Max._takeoff_weight_kg,Maximum_speed_kmh,Powerplant_kg,Powerplant_kW,Powerplant_m,Range_m,Rate_of_climb_m,Rate_of_climb_ms,Service_ceiling_m,Thrust_with_afterburner_kg,Wing_area_m,Wing_area_m2,Wing_loading_kg,Wing_loading_m2,Wingspan_m,country,year,number,status
AD Scout,NA,NA,NA,NA,NA,40,3.12,6.93,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.18,United Kingdom,1915,4,Abandoned
ADA/HAL Advanced Medium Combat Aircraft,NA,NA,NA,17277.31928,NA,NA,4.8768,17.0688,NA,29464.882728,NA,NA,NA,NA,NA,NA,228.60000000000002,18044.16,NA,NA,39.9018385,NA,NA,NA,India,NA,0,Project[1]
Aerfer Ariete,NA,NA,NA,2399.50168,NA,NA,3.048,9.4488,3534.842456,NA,NA,NA,NA,NA,NA,NA,44.434760000000004,11996.928,NA,NA,14.492868,NA,NA,7.315200000000001,Italy,1958,2,Abandoned
Aeronautica Umbra Trojani AUT.18,NA,NA,NA,2317.85512,2975.56352,NA,2.7432000000000003,8.5344,NA,NA,482.802,NA,778.5108,NA,NA,NA,NA,9997.44,NA,NA,18.673503,NA,NA,11.277600000000001,Italy,1939,1,Abandoned
AIDC F-CK-1 Ching-kuo,NA,NA,NA,NA,NA,19.9898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taiwan,1989,130,Operational
Airco DH.1,NA,NA,NA,616,NA,NA,3.46,8.83,927,NA,129.64000000000001,NA,50,NA,NA,NA,1.7,NA,NA,NA,39.6,NA,NA,12.5,United Kingdom,1915,170,Retired
Airco DH.2,NA,NA,NA,428,NA,NA,2.91,7.69,NA,654,150,NA,75,NA,NA,NA,NA,4265,NA,NA,23.13,NA,NA,8.61,United Kingdom,1915,453,Retired
Airco DH.5,NA,NA,NA,459,NA,7.7,2.78,6.71,676,NA,NA,NA,82,NA,NA,NA,NA,4878,NA,NA,19.7,NA,NA,7.83,United Kingdom,1916,552,Retired
Albatros D.II,NA,NA,NA,636.843168,NA,NA,2.4384,7.010400000000001,888.133136,NA,175.94,NA,119.31200000000001,NA,NA,NA,3.02768,5178.552000000001,NA,NA,24.526392,NA,NA,8.2296,German Empire,1916,291,Retired
Albatros D.III,NA,NA,NA,694.902944,NA,NA,2.7432000000000003,7.315200000000001,884.050808,954.81116,174.08800000000002,NA,126.769,NA,NA,NA,4.50088,5499.8112,NA,NA,23.597362,NA,NA,8.8392,German Empire,1916,1340,Retired
Albatros D.XI,NA,NA,NA,493.961688,723.025648,NA,NA,5.486400000000001,NA,NA,193.1208,NA,119.31200000000001,NA,NA,NA,NA,NA,NA,NA,18.487697,NA,NA,7.9248,German Empire,1918,2,Abandoned
Albatros L 84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany - Weimar Republic,1931,5,Abandoned
Alcock Scout,NA,NA,NA,NA,NA,NA,2.36,5.82,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.39,United Kingdom,1917,1,Abandoned
Anatra Anadis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.8873,NA,NA,NA,NA,NA,2.21996,NA,NA,NA,NA,NA,NA,NA,Russian Empire,1916,1,Abandoned
Ansaldo A.1 Balilla,NA,NA,NA,639.56472,884.5044,NA,2.4384,6.7056000000000004,NA,NA,225.3076,NA,164.054,NA,NA,NA,2.6416,4998.72,NA,NA,21.181884,NA,NA,7.62,Italy,1917,307,Retired
Ansaldo SVA,NA,NA,NA,680.388,1052.3334399999999,NA,2.4384,7.9248,NA,NA,225.3076,NA,149.14000000000001,NA,NA,NA,4.978400000000001,6004.56,NA,NA,24.15478,NA,NA,8.8392,Italy,1917,1245,Retired
Arado Ar 65,NA,NA,NA,NA,NA,7.924799999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany - Weimar Republic,1931,85,Retired
Arado Ar 67,NA,NA,NA,NA,NA,7.924799999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany - 3rd Reich,1933,1,Abandoned
